nama_lokasi,latitude,longitude
L5A-046,-3.50409,104.2164
L5A-047,-3.48698,104.178
L5A-048,-3.51094,104.2221
L5A-049,-3.49128,104.1822
L5A-050,-3.51802,104.214
L5A-051,-3.52764,104.2316
L5A-052,-3.47267,104.0443
L5A-053,-3.47526,104.0988
L5A-054,-3.45963,104.0116
L5A-055,-3.46534,104.0178
L5A-056,-3.49462,104.1723
L5A-057,-3.49896,104.1694
L5A-058,-3.471,104.0241
L5A-059,-3.52454,104.2355
L5A-060,-3.50029,104.1437
L5A-061,-3.50061,104.2206
L5A-062,-3.51272,104.2055
L5A-063,-3.53349,104.2326
L5A-064,-3.5368,104.228
L5A-065,-3.47588,104.0237
L5A-066,-3.47045,104.141
L5A-067,-3.52983,104.2366
L5A-068,-3.46393,104.0368
L5A-069,-3.48582,104.1827
L5A-070,-3.47247,104.0322
L5A-071,-3.49939,104.2149
L5A-072,-3.47045,104.0185
L5A-073,-3.50179,104.165
L5A-074,-3.53191,104.2272
L5A-075,-3.50752,104.2263
L5A-076,-3.4794,104.1513
L5A-077,-3.47678,104.0288
L5A-078,-3.50491,104.1414
L5A-079,-3.52733,104.2271
L5A-080,-3.49475,104.1429
L5A-081,-3.4737,104.1764
L5A-082,-3.47246,104.037
L5A-083,-3.5021,104.2235
L5A-084,-3.50668,104.2082
L5A-085,-3.49541,104.1678
L5A-086,-3.53693,104.2231
L5A-087,-3.53017,104.2223
L5A-088,-3.50205,104.1603
L5A-089 / LO 12-1,-3.47742,104.117
L5A-090,-3.48949,104.1814
L5A-091,-3.49599,104.2185
L5A-092,-3.49039,104.1737
L5A-093,-3.50216,104.2112
L5A-094,-3.47969,104.0233
L5A-095,-3.46599,104.0233
L5A-096,-3.48663,104.1478
L5A-097,-3.48969,104.1436
L5A-098,-3.4644,104.0317
L5A-099,-3.47352,104.1037
L5A-100,-3.4988,104.1648
L5A-101,-3.52742,104.2236
L5A-102,-3.47641,104.1555
L5A-103,-3.48915,104.1882
L5A-104,-3.48429,104.1525
